Dataset,Approach,nMAE_avg,nMAE_std,nMAE_many_avg,nMAE_many_std,nMAE_medium_avg,nMAE_medium_std,nMAE_few_avg,nMAE_few_std
BPIC15_1,BMSE,1.3344780650306327,0.12568716171258676,1.343035369379874,0.17727856713312604,1.084772302880315,0.1762666332365966,4.102203264649136,0.1179626713648599
BPIC15_1,CSW,0.8915786790397913,0.0145300978072593,0.7562889218374816,0.04104254953424619,0.8233327136225241,0.0545341948456236,5.016875992647048,0.13788858518379485
BPIC15_1,EAL,0.8705988374625612,0.035073712073941554,0.6974959115205476,0.06511818561429357,0.8773923387436534,0.0729705553890934,5.026804559033678,0.0650527068296951
BPIC15_1,SERA,5.519326974545405,0.6228991277105886,6.11663151668829,0.7820262770578321,4.62912826821989,0.3903706601187599,1.5121974268480227,0.4048257194176766
BPIC15_1,SMOGN,1.154649812473768,0.08956173119255023,1.0486309097719526,0.09114795115515928,1.0910633752398633,0.12111018711718088,4.507902276217297,0.14682394716440716
BPIC15_1,Survival,1.6891557347709558,0.35219764716984414,1.5378887900541656,0.43375536208529625,1.8255202312200876,0.2479436559501188,3.7660132933733506,0.2764013814034969
BPIC15_1,Vanilla,0.9850909366680053,0.06610455732323052,0.879016713012646,0.09173266098592298,0.8742842878183806,0.09450339831165273,4.902694404744168,0.3541074189305799
BPIC15_2,BMSE,1.361732840606065,0.35094904109417485,1.4496963601371333,0.4333311701518519,0.9294636166377351,0.1388065324867112,3.8045914139432453,0.5147792155012285
BPIC15_2,CSW,1.1146701954575904,0.18631319054930187,1.0620066203898542,0.23932455246665674,1.2723214853736375,0.17065861894042134,3.3175246276098704,0.47281943217113553
BPIC15_2,EAL,1.248426425111146,0.19338909770436777,1.2958480659411094,0.20635642225030698,0.9805303281687042,0.2269389618520033,3.8285464486073444,0.27335493370131925
BPIC15_2,SERA,6.427318331403759,0.004268471114300703,6.909532079475272,0.004268471074429616,4.570893586002767,0.0042684711562494225,1.2192962105667575,0.004268475587642633
BPIC15_2,SMOGN,2.4624395429158623,0.43796490085067735,2.4700239831743005,0.5285855829845503,2.4383920339008474,0.1008111644132654,2.193861861233361,0.23334781070249888
BPIC15_2,Survival,2.940399415617911,0.12557296283628197,3.068604472788081,0.16514076873224856,2.423670896416932,0.09758621641887351,2.395215613441889,0.26394778553241244
BPIC15_2,Vanilla,1.1184400418345783,0.12327267461516746,1.1437985907176984,0.15118843986569686,0.9326807127297803,0.11083029604348911,4.03837289417658,0.32862657385058364
BPIC15_3,BMSE,1.0418839543680083,0.09017960975351877,0.6092803857461313,0.10073982777625455,1.2636775629168853,0.12771046716639436,4.569634051656801,0.2141360792906062
BPIC15_3,CSW,0.8560368991015155,0.061684079661737994,0.3937046275486457,0.05031458063482861,1.0333034846303069,0.06299876663524452,4.92124623095534,0.3540420863831837
BPIC15_3,EAL,0.8960173754135077,0.027101413664807675,0.4195743221465361,0.042583560204650026,1.1064880433173285,0.016351729582255246,4.948104849467983,0.09086164591193199
BPIC15_3,SERA,4.504798825210001,0.12531407639825928,5.004660281825229,0.1760006160750047,3.940329745875566,0.07853639215720623,1.9498825290716906,0.09958898976857618
BPIC15_3,SMOGN,1.3408083680693024,0.11324493654481291,0.82682920106515,0.1362485248409937,1.933719288165688,0.13801573170006048,3.906184228014747,0.10765888334815246
BPIC15_3,Survival,1.353624047541865,0.07965927728969248,0.846468144951009,0.06512333175909374,2.090109358948419,0.13497981446084173,3.137378022927238,0.13602810592124168
BPIC15_3,Vanilla,0.8827196396376543,0.03426398641693021,0.4069284031522077,0.055290755014247336,1.0555920084603043,0.012170416178174822,5.113434942449571,0.12994243550665197
BPIC15_4,BMSE,1.2591156726668409,0.03263059032642634,1.3103320934793383,0.035109370712070195,0.3017615245221485,0.03304407228232987,1.3812975460288692,0.08404977811957202
BPIC15_4,CSW,1.0867537792920814,0.028925398664436937,1.1171482321153239,0.03208597976722867,0.4205051229396212,0.025948865007826557,1.637386462092742,0.05498612042550896
BPIC15_4,EAL,1.0766369201058101,0.038126943405720586,1.104222620316277,0.043026133844772094,0.452501660388475,0.034769791894950115,1.6711991717812775,0.05860202340936932
BPIC15_4,SERA,2.837712339222392,0.003976343413984664,2.9504836971920847,0.004008493416034362,1.3145720852450342,0.004008488972112984,0.2565873607892348,0.0009675683283436958
BPIC15_4,SMOGN,1.1365065064071975,0.09112400636795999,1.1673074209605723,0.10503975805258126,0.4694663528724171,0.11788077342777234,1.6549383061290435,0.12553423668779837
BPIC15_4,Survival,1.6723425208460116,0.08431824866368001,1.7273798424262718,0.08879746212093904,0.8245439245947915,0.07912561152298057,0.9216362777893383,0.124508311372723
BPIC15_4,Vanilla,1.0883873342433623,0.023548461504121924,1.117002559128851,0.026583863024308055,0.4504955355495138,0.025771330171110916,1.658661092634085,0.04017781693641232
BPIC15_5,BMSE,1.0641640789469142,0.033326094400837426,1.0390432090732447,0.060476315265301284,0.6101039684371149,0.04755712077155838,3.2489037784856563,0.05621998903331215
BPIC15_5,CSW,0.8324936491879018,0.02376480151060874,0.5568977776219144,0.05953537481148813,1.0768538685960056,0.15981843061235457,3.6133868726956946,0.11323402550232932
BPIC15_5,EAL,0.8254062844127056,0.012942690040042556,0.564383898649057,0.061363130708843625,1.0513968776238118,0.1277739775703216,3.4813341143868555,0.10460442376659913
BPIC15_5,SERA,6.080298002116185,0.10890208490613294,6.699767764214931,0.11811643684568401,4.869149153903155,0.1172145114755176,2.513130788733969,0.18820397444461726
BPIC15_5,SMOGN,0.877200743053178,0.029982597913268374,0.5481917562999261,0.026457810691110837,1.2458883282640107,0.17956710653201968,3.8849968540409208,0.19552575181240647
BPIC15_5,Survival,1.182801418618928,0.11294370264768316,1.027047880664303,0.1151033221847342,1.366098919187253,0.2827806380000297,2.5711814842073286,0.24964550256769544
BPIC15_5,Vanilla,0.8096994447652351,0.03103426213039776,0.5120276555183055,0.045940809134356046,1.1064340435151345,0.06324551694332277,3.6803620377078907,0.1402431698328837
BPIC20DD,BMSE,0.9382721353585369,0.005249681133918126,0.6835820572915873,0.015709641954316053,0.5627301860123606,0.004834467678294643,2.7166228283005096,0.02199760731424596
BPIC20DD,CSW,0.8701491621063802,0.00048578676515706926,0.40077248092072315,0.008513065764862124,0.5979770741718624,0.009278957579333674,3.296285969699646,0.017274444851028165
BPIC20DD,EAL,0.8701642062232139,0.0003239858889271787,0.4205416560681144,0.008249134213723981,0.5817023208353627,0.007883776531464857,3.2504363057776393,0.016065791156016803
BPIC20DD,SERA,2.712445097847621,0.03419400311492688,3.345558106820556,0.036676120661915335,2.0986968858188413,0.04481146369696416,1.4283155130851557,0.007059042736747987
BPIC20DD,SMOGN,0.8733826670193301,0.0019874280531694674,0.4503351112273421,0.00990835371611479,0.5675685442264269,0.01270203312095268,3.1827053106566727,0.02509904524576347
BPIC20DD,Survival,1.4197461229492858,0.0734470160149159,1.259496874165033,0.06393434311106855,1.4798648858078445,0.14370631403211281,1.937817441735144,0.025474452529141788
BPIC20DD,Vanilla,0.8712425591672399,0.0006409672883433429,0.38042725633144,0.009272544470168774,0.6220062102439678,0.00988155722099091,3.3364987610143446,0.021088072825588857
BPIC20ID,BMSE,0.8340748137219028,0.013812204069874375,0.5844698891877074,0.03278581414852674,1.1929825488782582,0.023274982883006255,4.668998393590516,0.01565302944992496
BPIC20ID,CSW,0.7195991916382873,0.006031343227737054,0.4379867982805119,0.0017187613959900655,1.1235663103411422,0.01647440077792323,5.074541179367228,0.03726984993408026
BPIC20ID,EAL,0.721574031452141,0.002579265932170008,0.44568207212539035,0.0035344180060250248,1.1148774818324876,0.004324333933376654,5.0600770391896415,0.01801418193189219
BPIC20ID,SERA,5.236500263048531,0.02392535068037285,6.012967270406736,0.024204092568091206,3.8178912509879277,0.024204053311541865,2.1602785161580615,0.0003613514295225388
BPIC20ID,SMOGN,0.7475759869716458,0.006547698254254556,0.48095982676792276,0.004240750086908972,1.1258186784301447,0.01634417130282259,4.9940579743006115,0.03266332649108457
BPIC20ID,Survival,1.3191440447147749,0.044229963851694414,0.7875348658886884,0.01966301418749219,2.2841318860984714,0.10371401837792008,3.6088635638823683,0.11815765605266146
BPIC20ID,Vanilla,0.7231348406175948,0.0056826572625084965,0.44065320392948076,0.0027403192755352476,1.1297531622058634,0.013173411207695579,5.050368007439323,0.030898742623001196
BPIC20PTC,BMSE,0.9951371774989948,0.011185294061475844,0.7423944541683649,0.010656109806352005,1.3012832748907055,0.020275899936342823,3.30566145312331,0.05342316234182218
BPIC20PTC,CSW,0.981489940970054,0.010431283974504985,0.728438819596168,0.006779050023038365,1.2816574838142925,0.0272863699921185,3.368460326215561,0.062373089742786415
BPIC20PTC,EAL,0.8277752051760501,0.003923271048485461,0.5475482695724481,0.008207325419286217,1.0917302625973668,0.005489893016728551,4.264466001330655,0.021949978897322496
BPIC20PTC,SERA,2.9216049815079814,0.10175591543653524,2.642710203594364,0.1348796060847872,3.6471927455194306,0.06581989000178406,0.9766712048273203,0.014890595557136689
BPIC20PTC,SMOGN,0.8260077085790314,0.004676928788853376,0.5629380396139172,0.006081835636373399,1.055947250827013,0.005861803083159796,4.259232613077801,0.039036845233512384
BPIC20PTC,Survival,1.712060435667712,0.03654897122703031,1.122167075388897,0.03708307760192026,2.9466666728479907,0.041617708887815325,1.076652402087009,0.037769393509823786
BPIC20PTC,Vanilla,0.7888480912212731,0.005755969375644976,0.48010488095152876,0.009684783441525418,1.0786624998031367,0.01122686467864849,4.586864593457386,0.09281038906673376
BPIC20RFP,BMSE,0.918333394518784,0.019923926315950143,0.6479829142015723,0.07946952235996912,0.5612392445568277,0.01299961710058003,2.4538957604266365,0.1315719577690944
BPIC20RFP,CSW,0.870492562103515,0.0012012270646842562,0.37933360294535917,0.009810411956003734,0.6231840955890551,0.009838422560267427,2.9586046311514784,0.017821467244582525
BPIC20RFP,EAL,0.8657108468781521,0.0011163819584992657,0.41763026893199234,0.008123349129130961,0.5937775457320313,0.010062914486309154,2.8516276940491165,0.010014590144552676
BPIC20RFP,SERA,2.906090599457944,0.03034658795276985,3.5878495285063594,0.03382258045028069,2.557865136257756,0.03999402692002404,1.2162383329038533,0.011910724401805657
