dataset,Spearman1,Spearman2
P2P,0.8923067807050449,0.6306395246166114
BPIC15_1,0.29763742054788817,0.54611108403469
BPIC_2017_W,0.3825794981462289,0.35444463712019736
Sepsis,0.5054902996877969,0.2742569417054058
BPIC20ID,0.6445643236780971,0.8105295005567054
BPIC20DD,0.46991235877043713,0.48133272940704447
BPIC20PTC,0.5639004536925032,0.6953787908475846
