dataset,nAUSE,nAURG,nAURG_ratio
P2P,0.18007581621512164,0.41275493322464457,0.6962441364836491
Sepsis,0.37903464842064577,0.2516818198746733,0.39904114213936914
BPIC15_1,0.25387126301188967,0.27303779246227117,0.5181877017022735
BPIC_2017_W,0.35142887146042395,0.16355575316896392,0.3175934685169832
BPIC20ID,0.11930098363173668,0.3145313110257376,0.7250066786154568
BPIC20DD,0.30528820251160643,0.2336513611482062,0.4335390772975255
BPIC20PTC,0.13678618895397188,0.40904234618094837,0.7493971455336969
